marker,chrom,pos
id1001017,1,1120616
id1001021,1,1121865
id1001022,1,1122165
id1001024,1,1123463
id1001025,1,1123615
id1001028,1,1124807
id1001037,1,1149555
id1001041,1,1164385
id1001042,1,1164771
id1001049,1,1166717
id1001051,1,1167141
id1001055,1,1167821
id1001056,1,1168079
id1001057,1,1168753
id1001060,1,1169433
id1001062,1,1169531
id1001069,1,1172634
id1001073,1,1174585
id1001074,1,1175090
id1001077,1,1176001
id1001102,1,1201724
id1001106,1,1227512
id1001110,1,1248796
id1001111,1,1248892
id1001117,1,1287772
id1001120,1,1290079
ud1000068,1,1292515
id1001125,1,1326271
wd1000045,1,1337430
wd1000058,1,1357451
id1001128,1,1401052
id1001130,1,1402093
id1001136,1,1406386
id1001141,1,1408298
id1001153,1,1415064
id1001157,1,1416110
id1001165,1,1429278
id1001167,1,1430255
id1001176,1,1437674
id1001182,1,1444302
ud1000074,1,1444562
ud1000077,1,1483675
id1001184,1,1489688
id1001186,1,1490141
id1001187,1,1490627
id1001194,1,1493483
id1001200,1,1497091
id1001206,1,1500351
id1001209,1,1501263
id1001213,1,1502529
id1001218,1,1503278
id1001224,1,1504625
id1001229,1,1506081
id1001235,1,1509625
id1001247,1,1511711
id1001256,1,1514218
id1001262,1,1533575
id1001266,1,1535455
id1001274,1,1539533
id1001275,1,1539706
id1001276,1,1539860
id1001277,1,1540137
id1001278,1,1540484
id1001280,1,1541209
ud1000087,1,1565728
ud1000097,1,1602005
id1001284,1,1603331
id1001285,1,1603855
id1001286,1,1604769
id1001287,1,1605595
id1001290,1,1607497
id1001291,1,1607534
id1001296,1,1641592
id1001298,1,1670145
id1001301,1,1670890
id1001307,1,1672666
id1001318,1,1676404
id1001320,1,1678641
id1001325,1,1679472
id1001332,1,1700427
id1001340,1,1704366
ud1000100,1,1706993
id1001354,1,1740666
id1001356,1,1766057
id1001357,1,1767292
id1001366,1,1775122
id1001368,1,1775737
id1001370,1,1776012
id1001376,1,1777839
id1001377,1,1778006
id1001378,1,1778061
id1001383,1,1829683
id1001389,1,1832926
id1001395,1,1835924
id1001396,1,1836171
id1001420,1,1844850
id1001423,1,1845277
id1001428,1,1848812
id1001430,1,1850165
id1001432,1,1850924
id1001436,1,1854227
id1001437,1,1863862
id1001452,1,1869350
id1001454,1,1869827
id1001458,1,1871026
id1001464,1,1892584
id1001465,1,1893214
id1001478,1,1906037
id1001483,1,1938001
id1001487,1,1939907
id1001500,1,1943340
id1001509,1,1944794
id1001516,1,1965548
id1001539,1,1973376
id1001542,1,1973868
id1001566,1,1976895
id1001572,1,1978258
id1001588,1,1983125
id1001591,1,1983445
id1001599,1,1990638
id1001602,1,1995450
wd1000121,1,2037657
id1001633,1,2054855
id1001636,1,2055094
id1001638,1,2057827
id1001645,1,2069677
id1001655,1,2073898
id1001662,1,2078005
id1001664,1,2078730
id1001665,1,2080456
id1001677,1,2098423
id1001678,1,2098804
id1001680,1,2099423
id1001681,1,2099471
id1001685,1,2101002
id1001688,1,2102204
id1001692,1,2112779
id1001700,1,2115148
id1001703,1,2116690
id1001709,1,2118023
id1001713,1,2118470
id1001714,1,2118765
id1001715,1,2118966
id1001716,1,2119093
id1001728,1,2131985
id1001729,1,2132023
id1001731,1,2134637
id1001734,1,2135874
id1001735,1,2136478
wd1000146,1,2171191
wd1000174,1,2213614
wd1000189,1,2237940
id1001740,1,2249164
id1001742,1,2249789
id1001748,1,2252445
id1001754,1,2253725
id1001764,1,2258237
id1001768,1,2259273
id1001775,1,2261208
id1001779,1,2261920
id1001791,1,2265168
id1001795,1,2266965
id1001798,1,2267154
id1001810,1,2270427
id1001811,1,2270450
id1001814,1,2270985
id1001821,1,2276961
id1001823,1,2277143
id1001839,1,2290936
id1001843,1,2292282
id1001845,1,2292904
id1001849,1,2293711
id1001851,1,2294836
id1001855,1,2296568
ud1000129,1,2297298
ud1000132,1,2327387
id1001857,1,2328243
id1001858,1,2334213
id1001864,1,2355260
id1001870,1,2355895
id1001876,1,2357978
id1001887,1,2361426
id1001891,1,2361701
id1001895,1,2362020
id1001896,1,2362495
id1001899,1,2370596
id1001905,1,2373616
id1001914,1,2379820
id1001915,1,2380137
id1001916,1,2380475
id1001924,1,2383307
id1001927,1,2383808
id1001936,1,2400362
wd1000197,1,2439647
id1001981,1,2569781
id1002025,1,2585620
id1002029,1,2586042
id1002033,1,2586766
id1002045,1,2590115
id1002048,1,2591017
id1002058,1,2605844
id1002060,1,2606283
id1002076,1,2609085
id1002080,1,2610666
id1002081,1,2611982
id1002087,1,2628752
id1002097,1,2634501
id1002108,1,2674113
id1002120,1,2688263
id1002122,1,2689690
id1002126,1,2701155
id1002128,1,2701870
id1002143,1,2705338
id1002146,1,2705614
id1002149,1,2706551
id1002151,1,2707131
id1002153,1,2707476
id1002158,1,2725468
id1002159,1,2726187
id1002163,1,2727493
id1002165,1,2728045
id1002167,1,2729120
id1002176,1,2769040
ud1000149,1,2772360
id1002184,1,2800954
id1002198,1,2806522
id1002201,1,2807609
ud1000154,1,2834562
id1002215,1,2844330
id1002218,1,2844480
id1002227,1,2846327
id1002236,1,2848262
id1002237,1,2848338
id1002266,1,2863621
id1002267,1,2863898
id1002277,1,2893159
id1002284,1,2894250
id1002298,1,2897384
id1002300,1,2897613
id1002308,1,2899077
id1002311,1,2900116
id1002315,1,2919431
id1002317,1,2920170
id1002330,1,2924187
id1002331,1,2924549
id1002334,1,2926858
id1002336,1,2963449
id1002362,1,2974417
id1002366,1,2975692
id1002368,1,2977180
id1002370,1,2977860
id1002371,1,2978326
id1002373,1,2979582
id1002395,1,3030868
id1002406,1,3037962
id1002416,1,3052220
id1002420,1,3057059
ud1000186,1,3058941
ud1000187,1,3086333
id1002426,1,3086655
id1002431,1,3088221
id1002446,1,3090666
id1002452,1,3092377
id1002456,1,3093093
id1002477,1,3096543
id1002490,1,3101884
ud1000189,1,3103801
ud1000190,1,3130690
id1002494,1,3130836
id1002495,1,3130962
id1002498,1,3134826
id1002509,1,3149027
id1002518,1,3180818
id1002529,1,3183395
id1002531,1,3183885
id1002535,1,3194253
id1002547,1,3285074
id1002572,1,3316630
id1002622,1,3328456
id1002625,1,3329369
id1002635,1,3332043
id1002641,1,3332734
id1002647,1,3335235
id1002671,1,3340207
id1002705,1,3346735
id1002728,1,3351659
id1002730,1,3352365
id1002732,1,3353477
id1002745,1,3361471
id1002749,1,3363353
id1002759,1,3369209
id1002760,1,3369228
id1002770,1,3397754
id1002773,1,3398048
id1002774,1,3398103
id1002776,1,3398228
id1002788,1,3400773
id1002793,1,3419119
id1002809,1,3425056
id1002825,1,3434148
id1002826,1,3434442
id1002832,1,3446298
id1002833,1,3446754
id1002838,1,3461494
id1002840,1,3461948
id1002842,1,3463018
id1002845,1,3464892
id1002847,1,3465717
id1002852,1,3467850
id1002856,1,3478928
id1002857,1,3479097
id1002859,1,3479541
id1002863,1,3481990
id1002864,1,3482103
id1002871,1,3502592
id1002873,1,3503090
id1002875,1,3503292
id1002878,1,3506466
id1002880,1,3506991
id1002888,1,3508893
id1002889,1,3509242
id1002892,1,3510603
id1002896,1,3527049
id1002897,1,3527241
id1002899,1,3528691
id1002902,1,3529176
id1002906,1,3533720
id1002908,1,3533877
id1002912,1,3559767
id1002919,1,3569135
id1002920,1,3569488
id1002928,1,3572015
id1002930,1,3573350
id1002931,1,3575408
id1002936,1,3593481
id1002940,1,3596871
id1002941,1,3597160
id1002947,1,3615627
id1002962,1,3637152
id1002966,1,3658950
id1002979,1,3663140
id1002985,1,3665220
id1002991,1,3665839
id1003008,1,3679685
id1003019,1,3681762
id1003026,1,3692489
id1003036,1,3695404
id1003037,1,3695840
id1003043,1,3697470
id1003050,1,3700291
id1003056,1,3711264
id1003064,1,3713661
id1003089,1,3726651
id1003092,1,3728232
id1003093,1,3728297
id1003094,1,3728341
id1003102,1,3731290
id1003108,1,3733953
id1003111,1,3735606
id1003112,1,3735623
id1003114,1,3736131
id1003115,1,3736712
id1003126,1,3775914
id1003132,1,3778147
id1003138,1,3780918
id1003144,1,3801746
id1003156,1,3819261
id1003157,1,3819526
id1003163,1,3820627
id1003164,1,3821059
id1003168,1,3822585
id1003170,1,3823861
id1003171,1,3824930
id1003182,1,3828299
id1003191,1,3829435
id1003193,1,3829513
id1003200,1,3830323
id1003213,1,3834596
ud1000229,1,3848043
id1003225,1,3874081
id1003237,1,3878255
id1003245,1,3881082
id1003248,1,3917517
id1003249,1,3918654
id1003251,1,3919581
id1003252,1,3919906
id1003253,1,3921118
id1003255,1,3923048
id1003256,1,3924288
id1003260,1,3926336
id1003261,1,3926693
id1003269,1,3940360
id1003271,1,3942155
id1003279,1,3957573
id1003293,1,3966354
id1003304,1,3981585
id1003307,1,3981816
id1003312,1,3984666
id1003323,1,3989937
id1003325,1,3990462
id1003336,1,3994106
id1003337,1,3994178
id1003344,1,4004917
id1003345,1,4005467
id1003348,1,4006006
id1003359,1,4008219
id1003362,1,4011484
id1003363,1,4011648
id1003368,1,4029937
id1003370,1,4031092
id1003372,1,4032636
id1003376,1,4037343
id1003383,1,4059318
id1003386,1,4060444
id1003396,1,4063861
id1003397,1,4089558
id1003399,1,4091359
id1003400,1,4091647
id1003403,1,4095765
id1003407,1,4096769
id1003409,1,4098494
id1003423,1,4114249
id1003426,1,4116087
id1003441,1,4125084
id1003447,1,4136311
id1003456,1,4140544
id1003465,1,4143766
id1003475,1,4147911
id1003479,1,4148533
id1003483,1,4151213
id1003487,1,4153991
id1003490,1,4172403
id1003496,1,4177640
id1003500,1,4180711
id1003505,1,4206703
id1003509,1,4208827
id1003517,1,4229753
id1003519,1,4233856
id1003532,1,4239811
id1003538,1,4241700
id1003552,1,4257973
id1003559,1,4259452
id1003561,1,4260025
id1003562,1,4260192
id1003564,1,4260328
id1003571,1,4264985
id1003576,1,4267262
id1003578,1,4268162
id1003579,1,4268587
ud1000245,1,4300550
id1003592,1,4315741
id1003593,1,4316129
id1003596,1,4318247
id1003597,1,4318289
id1003602,1,4319848
id1003608,1,4321629
id1003611,1,4329168
id1003612,1,4329799
id1003619,1,4332541
id1003623,1,4334704
id1003636,1,4380408
id1003639,1,4382021
id1003645,1,4386570
id1003650,1,4387788
id1003672,1,4397344
id1003675,1,4398822
id1003686,1,4403404
id1003687,1,4403617
id1003690,1,4405100
id1003693,1,4407400
id1003712,1,4422641
id1003713,1,4422794
id1003715,1,4423202
id1003729,1,4426330
id1003733,1,4426772
id1003752,1,4490727
id1003754,1,4510363
id1003755,1,4510445
id1003756,1,4510589
id1003757,1,4510971
id1003766,1,4514425
id1003776,1,4517310
id1003784,1,4543494
id1003789,1,4545468
id1003791,1,4545763
id1003796,1,4581157
id1003800,1,4582766
id1003802,1,4582879
id1003818,1,4590266
id1003820,1,4619884
id1003824,1,4621986
id1003837,1,4645744
id1003838,1,4645923
id1003839,1,4646140
id1003840,1,4646221
id1003841,1,4646379
id1003842,1,4647100
id1003843,1,4647440
id1003844,1,4647790
id1003847,1,4648125
id1003850,1,4649725
id1003851,1,4650167
id1003852,1,4650269
id1003853,1,4650543
id1003854,1,4650842
id1003858,1,4676444
id1003861,1,4677218
id1003863,1,4677783
id1003869,1,4679517
id1003873,1,4681133
id1003877,1,4682262
id1003879,1,4701723
id1003887,1,4703211
id1003893,1,4707475
id1003902,1,4736704
id1003908,1,4738970
id1003909,1,4739026
id1003919,1,4752891
id1003920,1,4753347
id1003922,1,4754473
id1003924,1,4790369
id1003926,1,4791522
id1003927,1,4793566
id1003929,1,4795262
id1003930,1,4796176
id1003932,1,4816430
id1003941,1,4820586
id1003946,1,4824928
id1003947,1,4846525
id1003955,1,4850377
id1003959,1,4852668
id1003960,1,4853002
id1003966,1,4869563
id1003969,1,4870786
id1003974,1,4871587
id1003996,1,4890114
id1004001,1,4892118
id1004007,1,4894645
id1004031,1,4923148
id1004034,1,4946482
id1004035,1,4948173
ud1000285,1,4968392
id1004041,1,4970993
id1004044,1,4974150
id1004045,1,4974371
id1004061,1,5018038
id1004065,1,5018343
id1004077,1,5024932
id1004079,1,5028045
id1004092,1,5035455
id1004093,1,5035977
id1004097,1,5063126
id1004099,1,5064371
id1004106,1,5068572
id1004114,1,5093807
id1004122,1,5096113
id1004130,1,5097346
id1004136,1,5098047
id1004143,1,5100767
id1004146,1,5111154
id1004154,1,5115299
id1004156,1,5129109
id1004157,1,5129286
id1004159,1,5129492
id1004164,1,5133796
id1004166,1,5134346
id1004169,1,5135425
id1004171,1,5162435
id1004179,1,5216199
id1004182,1,5216641
id1004185,1,5216866
id1004195,1,5218850
id1004198,1,5219589
ud1000297,1,5239748
id1004202,1,5256670
id1004204,1,5257130
id1004213,1,5260864
id1004220,1,5263642
ud1000304,1,5285322
id1004223,1,5289075
id1004230,1,5316048
id1004231,1,5316439
id1004232,1,5316761
id1004234,1,5320235
id1004239,1,5323813
id1004242,1,5325062
id1004251,1,5329545
id1004256,1,5332883
id1004257,1,5367761
id1004287,1,5416349
id1004290,1,5417069
id1004294,1,5427557
id1004301,1,5431650
id1004302,1,5432024
id1004305,1,5434432
id1004308,1,5435395
id1004310,1,5437204
id1004312,1,5438935
id1004313,1,5438964
id1004319,1,5441863
id1004321,1,5442451
id1004328,1,5474646
id1004329,1,5474749
id1004330,1,5476190
id1004333,1,5476324
id1004341,1,5478606
id1004342,1,5478645
id1004348,1,5481198
id1004349,1,5489588
id1004369,1,5512115
id1004376,1,5515647
id1004379,1,5552143
id1004380,1,5562443
id1004384,1,5565206
id1004385,1,5565375
id1004388,1,5566375
id1004389,1,5566444
id1004393,1,5568860
id1004397,1,5589473
id1004402,1,5591893
id1004404,1,5594377
id1004407,1,5596859
id1004408,1,5629597
id1004418,1,5631963
id1004420,1,5633273
id1004423,1,5635088
id1004424,1,5635231
wd1000208,1,5647220
id1004433,1,5693751
id1004440,1,5698636
id1004447,1,5700835
id1004454,1,5722378
id1004466,1,5725789
id1004468,1,5726642
id1004471,1,5726977
id1004479,1,5728668
id1004491,1,5764181
id1004494,1,5766779
id1004497,1,5771346
id1004509,1,5794352
id1004548,1,5811323
id1004556,1,5812437
id1004562,1,5813572
id1004576,1,5815301
id1004591,1,5835866
id1004592,1,5836074
id1004602,1,5839280
id1004627,1,5894922
id1004630,1,5897430
id1004633,1,5898200
id1004634,1,5898486
id1004651,1,5911668
id1004659,1,5944447
id1004660,1,5944703
id1004662,1,5945289
id1004668,1,5949115
id1004669,1,5976727
id1004670,1,5976754
id1004686,1,5982372
id1004691,1,6003489
id1004693,1,6004190
id1004698,1,6007069
id1004703,1,6009782
id1004714,1,6012569
id1004725,1,6035816
id1004726,1,6036592
id1004753,1,6078616
id1004756,1,6094955
id1004758,1,6098054
id1004759,1,6099057
id1004769,1,6102553
id1004772,1,6113242
id1004773,1,6113636
id1004788,1,6118057
id1004789,1,6118830
id1004800,1,6131305
id1004802,1,6131399
id1004803,1,6131507
id1004806,1,6131896
id1004815,1,6135111
id1004817,1,6136479
id1004819,1,6136981
id1004824,1,6187297
id1004834,1,6188486
id1004841,1,6195784
id1004843,1,6216693
id1004849,1,6219761
id1004853,1,6223858
id1004854,1,6224212
id1004858,1,6244002
id1004863,1,6245897
id1004865,1,6246721
id1004870,1,6248183
id1004872,1,6248553
id1004873,1,6249141
id1004874,1,6249695
id1004876,1,6267947
id1004877,1,6268180
id1004882,1,6277258
id1004903,1,6301750
id1004905,1,6324877
id1004938,1,6330042
id1004949,1,6332190
id1004951,1,6332303
id1004952,1,6332825
id1004953,1,6333093
id1004959,1,6352807
id1004960,1,6353162
id1004961,1,6354064
id1004972,1,6358102
id1004975,1,6381052
id1004976,1,6382884
id1004983,1,6420163
id1004985,1,6420369
id1004990,1,6424232
id1004994,1,6443474
id1004998,1,6444367
id1005000,1,6447190
id1005007,1,6468766
ud1000346,1,6471973
id1005009,1,6493392
id1005011,1,6494174
id1005013,1,6494458
id1005015,1,6494861
id1005029,1,6502036
id1005039,1,6506725
id1005042,1,6507269
id1005049,1,6508922
id1005053,1,6520870
id1005056,1,6521041
id1005063,1,6522024
id1005067,1,6524460
id1005075,1,6525987
id1005078,1,6528767
id1005086,1,6532939
id1005088,1,6533933
id1005093,1,6534893
id1005102,1,6540463
id1005103,1,6542217
wd1000235,1,6620704
id1005112,1,6621338
id1005122,1,6625922
id1005125,1,6628455
id1005129,1,6630575
id1005131,1,6639911
id1005134,1,6660627
id1005136,1,6663058
id1005138,1,6663413
id1005141,1,6666544
id1005142,1,6667083
id1005143,1,6667898
id1005144,1,6684669
id1005155,1,6690871
id1005158,1,6691495
id1005162,1,6717533
id1005164,1,6717946
id1005166,1,6718251
id1005170,1,6765662
id1005172,1,6785796
id1005173,1,6786032
id1005176,1,6791688
id1005178,1,6793133
id1005180,1,6793643
id1005182,1,6846173
id1005183,1,6849958
id1005200,1,6881038
id1005201,1,6881608
id1005216,1,6894356
id1005218,1,6895165
id1005226,1,6898813
id1005228,1,6899271
id1005232,1,6900427
id1005237,1,6901321
id1005238,1,6901826
id1005239,1,6902610
id1005243,1,6905400
id1005251,1,6908222
id1005254,1,6909074
wd1000240,1,6915738
wd1000243,1,6952822
id1005256,1,6971446
id1005257,1,6971525
id1005261,1,6973428
id1005263,1,6974898
id1005264,1,6974988
id1005269,1,6977891
id1005271,1,6989751
id1005277,1,6992254
id1005282,1,6995910
id1005286,1,7012862
id1005287,1,7013248
dd1000009,1,7014262
dd1000015,1,7014955
id1005290,1,7015126
id1005291,1,7015244
id1005292,1,7015465
id1005293,1,7015503
dd1000022,1,7015736
id1005296,1,7015826
dd1000032,1,7016241
id1005297,1,7016392
id1005298,1,7016643
dd1000036,1,7016944
id1005300,1,7017159
id1005301,1,7017302
id1005302,1,7017406
id1005306,1,7017781
id1005307,1,7017909
id1005308,1,7017962
dd1000052,1,7018045
dd1000053,1,7018368
id1005309,1,7018577
dd1000055,1,7018635
id1005311,1,7018919
id1005312,1,7019063
dd1000065,1,7019095
dd1000066,1,7019170
id1005313,1,7019261
id1005314,1,7019293
dd1000071,1,7019571
dd1000072,1,7019592
dd1000073,1,7019687
id1005315,1,7019970
dd1000077,1,7020278
id1005316,1,7020822
id1005318,1,7038503
id1005319,1,7039123
id1005320,1,7039168
id1005321,1,7039215
dd1000090,1,7039617
dd1000091,1,7039671
id1005322,1,7040499
id1005323,1,7041008
id1005324,1,7041209
dd1000097,1,7041661
dd1000098,1,7041805
id1005325,1,7042098
dd1000103,1,7042688
dd1000104,1,7042704
id1005327,1,7043796
dd1000108,1,7044190
dd1000109,1,7044641
id1005328,1,7044893
id1005329,1,7044913
dd1000112,1,7045039
id1005330,1,7045445
id1005331,1,7045983
id1005332,1,7046392
id1005334,1,7046652
id1005336,1,7046840
dd1000121,1,7046962
id1005337,1,7047000
id1005339,1,7049980
id1005341,1,7050425
dd1000141,1,7051183
dd1000142,1,7051206
dd1000147,1,7051725
dd1000149,1,7051945
id1005350,1,7052010
dd1000153,1,7053303
dd1000154,1,7053339
dd1000157,1,7053425
id1005351,1,7053453
dd1000165,1,7069274
dd1000173,1,7072810
id1005353,1,7086172
id1005354,1,7087178
dd1000186,1,7087482
dd1000187,1,7087529
id1005355,1,7087660
dd1000189,1,7087762
id1005356,1,7087946
id1005357,1,7088520
id1005358,1,7088552
id1005359,1,7089419
dd1000196,1,7089520
id1005360,1,7089736
id1005361,1,7089760
dd1000200,1,7089814
id1005364,1,7090362
id1005365,1,7090457
dd1000213,1,7091281
id1005367,1,7091470
id1005368,1,7091749
dd1000217,1,7092053
id1005371,1,7093512
dd1000225,1,7093641
dd1000226,1,7093680
id1005372,1,7094007
id1005373,1,7094464
id1005374,1,7094548
id1005375,1,7094643
id1005376,1,7094978
id1005377,1,7095314
id1005378,1,7095872
id1005380,1,7096349
id1005381,1,7096469
dd1000244,1,7096758
dd1000245,1,7096952
dd1000247,1,7097211
id1005383,1,7097252
id1005384,1,7097457
dd1000252,1,7097620
dd1000253,1,7097666
dd1000263,1,7099206
id1005390,1,7099748
id1005391,1,7099902
id1005392,1,7099935
id1005393,1,7100263
id1005397,1,7102198
id1005398,1,7102264
id1005399,1,7102674
id1005400,1,7102974
dd1000288,1,7104134
dd1000291,1,7104332
id1005402,1,7104376
id1005403,1,7104434
id1005404,1,7104539
id1005405,1,7104564
id1005407,1,7104922
id1005408,1,7105011
id1005409,1,7105068
id1005412,1,7107452
id1005413,1,7107551
dd1000309,1,7108378
id1005415,1,7109351
dd1000313,1,7109617
id1005416,1,7109841
dd1000317,1,7110581
dd1000321,1,7111246
dd1000326,1,7112699
id1005424,1,7114218
dd1000336,1,7114582
id1005427,1,7115655
id1005429,1,7116526
id1005430,1,7116772
id1005432,1,7117239
id1005433,1,7118016
id1005435,1,7120430
id1005437,1,7120549
id1005438,1,7121253
dd1000355,1,7121289
id1005439,1,7121846
id1005440,1,7122672
dd1000360,1,7122887
dd1000365,1,7123287
dd1000366,1,7123319
dd1000367,1,7124136
id1005442,1,7124430
id1005443,1,7124455
dd1000372,1,7124476
dd1000373,1,7124591
id1005444,1,7124683
id1005445,1,7124707
id1005446,1,7124812
id1005447,1,7124884
id1005449,1,7125017
id1005450,1,7125142
id1005452,1,7125284
id1005453,1,7125316
dd1000391,1,7125429
id1005455,1,7125471
dd1000393,1,7125819
dd1000394,1,7125855
dd1000395,1,7125925
id1005456,1,7125977
id1005458,1,7126087
id1005459,1,7126119
id1005460,1,7126147
id1005461,1,7126300
id1005462,1,7126342
id1005463,1,7126451
dd1000406,1,7126571
dd1000408,1,7126655
dd1000409,1,7126695
id1005464,1,7126717
id1005465,1,7126857
id1005472,1,7128947
id1005473,1,7129176
dd1000429,1,7130067
dd1000430,1,7130085
id1005474,1,7130134
id1005476,1,7130397
id1005477,1,7130656
id1005479,1,7131219
id1005480,1,7157323
id1005481,1,7158106
id1005484,1,7158486
id1005485,1,7158549
id1005488,1,7160257
id1005489,1,7160288
id1005490,1,7160353
id1005491,1,7160547
id1005492,1,7160595
id1005493,1,7161051
id1005495,1,7161309
id1005496,1,7161463
id1005497,1,7161705
id1005498,1,7161863
id1005499,1,7162088
id1005500,1,7162140
id1005501,1,7162400
id1005502,1,7162449
id1005503,1,7176403
id1005506,1,7176932
id1005508,1,7177022
id1005509,1,7177628
dd1000475,1,7177869
id1005511,1,7179380
id1005512,1,7179443
id1005513,1,7179467
id1005515,1,7179917
id1005516,1,7179947
id1005517,1,7180419
dd1000505,1,7228348
dd1000506,1,7228429
id1005526,1,7228483
dd1000512,1,7229041
dd1000515,1,7230435
dd1000521,1,7231591
dd1000525,1,7231793
id1005534,1,7232260
dd1000538,1,7232925
dd1000539,1,7232957
dd1000543,1,7233444
id1005537,1,7234255
dd1000558,1,7236833
id1005541,1,7246956
id1005543,1,7247315
dd1000562,1,7247935
id1005544,1,7248068
dd1000564,1,7248689
id1005545,1,7250313
id1005547,1,7250676
id1005548,1,7250886
dd1000573,1,7251285
id1005551,1,7252367
id1005552,1,7253306
dd1000580,1,7253402
dd1000581,1,7253736
dd1000586,1,7267729
dd1000587,1,7267770
id1005555,1,7267854
id1005558,1,7268016
id1005559,1,7268241
dd1000593,1,7268466
id1005561,1,7268945
dd1000597,1,7269230
id1005563,1,7269310
id1005564,1,7269507
id1005565,1,7269694
id1005566,1,7269770
id1005567,1,7269797
dd1000606,1,7269881
dd1000607,1,7269917
id1005568,1,7269984
id1005569,1,7270463
dd1000612,1,7270977
id1005572,1,7271790
id1005573,1,7272255
id1005574,1,7272628
id1005576,1,7273384
id1005577,1,7273624
id1005578,1,7273857
id1005579,1,7274167
id1005580,1,7274330
id1005581,1,7274346
dd1000626,1,7274756
id1005582,1,7274895
id1005583,1,7275048
id1005585,1,7275350
dd1000634,1,7286280
dd1000640,1,7287901
id1005588,1,7287994
id1005589,1,7288562
id1005590,1,7289097
dd1000646,1,7289297
dd1000647,1,7289369
id1005592,1,7289656
dd1000649,1,7290302
id1005593,1,7290643
dd1000652,1,7290985
id1005594,1,7291438
id1005595,1,7292592
id1005596,1,7292959
id1005597,1,7293512
dd1000659,1,7293613
dd1000668,1,7303818
id1005601,1,7303938
id1005602,1,7303965
dd1000674,1,7304981
id1005606,1,7305740
id1005607,1,7306061
dd1000682,1,7306169
dd1000688,1,7306602
id1005611,1,7306652
id1005612,1,7306673
id1005613,1,7306692
id1005614,1,7307100
id1005623,1,7309679
dd1000716,1,7310440
id1005626,1,7310780
